league,team,Total,pick,pfref_id,FantPos
ti7ip7kd,team_10,101.65735193929801,91.0,CookBr00,WR
ti7ip7kd,team_10,101.65735193929801,110.0,RichAn03,QB
ti7ip7kd,team_10,101.65735193929801,111.0,ToneKa00,WR
ti7ip7kd,team_10,101.65735193929801,130.0,WilsRu00,QB
ti7ip7kd,team_10,101.65735193929801,131.0,MeyeJa01,WR
ti7ip7kd,team_2,99.9124846746082,2.0,PollTo00,RB
ti7ip7kd,team_2,99.9124846746082,19.0,DiggSt00,WR
ti7ip7kd,team_2,99.9124846746082,22.0,MahoPa00,QB
ti7ip7kd,team_2,99.9124846746082,39.0,JoneAa00,RB
ti7ip7kd,team_2,99.9124846746082,42.0,PierDa01,RB
ti7ip7kd,team_2,99.9124846746082,59.0,KittGe00,TE
ti7ip7kd,team_2,99.9124846746082,62.0,MattAl01,RB
ti7ip7kd,team_2,99.9124846746082,79.0,CookJa01,RB
ti7ip7kd,team_2,99.9124846746082,82.0,DotsJa00,WR
ti7ip7kd,team_2,99.9124846746082,99.0,ThomMi05,WR
ti7ip7kd,team_2,99.9124846746082,102.0,CharZa00,RB
ti7ip7kd,team_2,99.9124846746082,119.0,GoffJa00,QB
ti7ip7kd,team_2,99.9124846746082,122.0,MoorEl00,WR
ti7ip7kd,team_2,99.9124846746082,139.0,DulcGr00,TE
ti7ip7kd,team_3,106.02993251252153,3.0,ChasJa00,WR
ti7ip7kd,team_3,106.02993251252153,18.0,BrowAJ00,WR
ti7ip7kd,team_3,106.02993251252153,23.0,WaddJa00,WR
ti7ip7kd,team_3,106.02993251252153,38.0,MetcDK00,WR
ti7ip7kd,team_3,106.02993251252153,43.0,AlleKe00,WR
ti7ip7kd,team_3,106.02993251252153,58.0,KamaAl00,RB
ti7ip7kd,team_3,106.02993251252153,63.0,WillMi07,WR
ti7ip7kd,team_3,106.02993251252153,78.0,BrowMa04,WR
ti7ip7kd,team_3,106.02993251252153,83.0,WatsDe00,QB
ti7ip7kd,team_3,106.02993251252153,98.0,NjokDa00,TE
ti7ip7kd,team_3,106.02993251252153,103.0,RodgAa00,QB
ti7ip7kd,team_3,106.02993251252153,118.0,MitcEl00,RB
ti7ip7kd,team_3,106.02993251252153,123.0,McKiJe00,RB
ti7ip7kd,team_3,106.02993251252153,138.0,HigbTy00,TE
ti7ip7kd,team_4,80.93055410688606,4.0,RobiBi01,RB
ti7ip7kd,team_4,80.93055410688606,17.0,JacoJo01,RB
ti7ip7kd,team_4,80.93055410688606,24.0,SmitDe07,WR
ti7ip7kd,team_4,80.93055410688606,37.0,WalkKe00,RB
ti7ip7kd,team_4,80.93055410688606,44.0,JackLa00,QB
ti7ip7kd,team_4,80.93055410688606,57.0,CookDa01,RB
ti7ip7kd,team_4,80.93055410688606,64.0,AiyuBr00,WR
ti7ip7kd,team_4,80.93055410688606,77.0,GodwCh00,WR
ti7ip7kd,team_4,80.93055410688606,84.0,PresDa01,QB
ti7ip7kd,team_4,80.93055410688606,97.0,AddiJo00,WR
ti7ip7kd,team_4,80.93055410688606,104.0,JohnQu02,WR
ti7ip7kd,team_4,80.93055410688606,117.0,KincDa00,TE
ti7ip7kd,team_4,80.93055410688606,124.0,LazaAl00,WR
ti7ip7kd,team_4,80.93055410688606,137.0,BoydTy00,WR
ti7ip7kd,team_5,97.25968153075293,5.0,EkelAu00,RB
ti7ip7kd,team_5,97.25968153075293,16.0,AlleJo02,QB
ti7ip7kd,team_5,97.25968153075293,25.0,TaylJo02,RB
ti7ip7kd,team_5,97.25968153075293,36.0,GibbJa01,RB
ti7ip7kd,team_5,97.25968153075293,45.0,SandMi01,RB
ti7ip7kd,team_5,97.25968153075293,56.0,WatsCh00,WR
ti7ip7kd,team_5,97.25968153075293,65.0,WillJa10,RB
ti7ip7kd,team_5,97.25968153075293,76.0,MontDa01,RB
ti7ip7kd,team_5,97.25968153075293,85.0,TagoTu00,QB
ti7ip7kd,team_5,97.25968153075293,96.0,SmitJu00,WR
ti7ip7kd,team_5,97.25968153075293,105.0,PeriSa00,RB
ti7ip7kd,team_5,97.25968153075293,116.0,SchuDa00,TE
ti7ip7kd,team_5,97.25968153075293,125.0,ElliEz00,RB
ti7ip7kd,team_5,97.25968153075293,136.0,WarrJa01,RB
ti7ip7kd,team_6,86.67924130688947,6.0,JeffJu00,WR
ti7ip7kd,team_6,86.67924130688947,15.0,LambCe00,WR
ti7ip7kd,team_6,86.67924130688947,26.0,HarrNa00,RB
ti7ip7kd,team_6,86.67924130688947,35.0,RidlCa00,WR
ti7ip7kd,team_6,86.67924130688947,46.0,CoopAm00,WR
ti7ip7kd,team_6,86.67924130688947,55.0,HopkDe00,WR
ti7ip7kd,team_6,86.67924130688947,66.0,PittKy00,TE
ti7ip7kd,team_6,86.67924130688947,75.0,PittMi01,WR
ti7ip7kd,team_6,86.67924130688947,86.0,EngrEv00,TE
ti7ip7kd,team_6,86.67924130688947,95.0,SuttCo00,WR
ti7ip7kd,team_6,86.67924130688947,106.0,CousKi00,QB
ti7ip7kd,team_6,86.67924130688947,115.0,AllgTy00,RB
ti7ip7kd,team_6,86.67924130688947,126.0,WillJa11,WR
ti7ip7kd,team_6,86.67924130688947,135.0,BigsTa00,RB
ti7ip7kd,team_7,98.90027652011669,7.0,McCaCh01,RB
ti7ip7kd,team_7,98.90027652011669,14.0,WilsGa00,WR
ti7ip7kd,team_7,98.90027652011669,27.0,OlavCh00,WR
ti7ip7kd,team_7,98.90027652011669,34.0,StevRh00,RB
ti7ip7kd,team_7,98.90027652011669,47.0,SamuDe00,WR
ti7ip7kd,team_7,98.90027652011669,54.0,McLaTe00,WR
ti7ip7kd,team_7,98.90027652011669,67.0,LockTy00,WR
